4.20,304,-2308,3360,32.67,-16420,-5974,-2517,-0.6
4.25,324,412,4960,32.58,13703,4718,1856,0.08
4.33,2868,-14432,1144,32.67,13508,3392,-25,-1.36
4.38,-3448,-5420,6764,32.62,-8819,-1571,-627,-0.62
4.45,-240,-500,4440,32.72,-178,-882,-85,-0.11
4.52,-600,-1028,4632,32.62,-592,-147,257,-0.22
4.57,-948,-636,4528,32.62,-1339,563,-217,-0.14
4.64,-1056,0,4436,32.67,-6723,294,-28,0
4.70,-1212,-988,4912,32.67,-9536,-1554,591,-0.19
4.75,-800,-2384,4280,32.58,-4779,-2090,-2401,-0.5
4.81,512,-260,4744,32.67,4401,1538,-5837,-0.05
4.88,572,-27048,1676,32.67,11547,598,682,-1.51
4.94,120,-1924,4856,32.58,638,732,1063,-0.38
5.00,-508,-936,4500,32.58,-262,-38,2,-0.2
5.05,-1064,-696,4464,32.62,-1942,569,-253,-0.15
5.13,-1040,-576,5240,32.72,-11236,-1857,1376,-0.11
5.18,-2540,2548,6708,32.67,1819,-1069,4470,0.34
5.25,3820,-932,9252,32.62,6289,1411,2926,-0.09
5.32,2276,3832,4300,32.62,3556,3624,4006,0.67
5.37,-1344,-1100,4768,32.62,-1183,-734,717,-0.22
5.44,-976,-736,4368,32.48,-723,-529,307,-0.16
5.50,-812,-968,4664,32.58,-751,-374,339,-0.2
5.55,-536,-464,4208,32.58,-3182,284,357,-0.11
5.61,-644,-428,4972,32.67,-10645,565,181,-0.09
5.68,-424,-2500,5328,32.58,-10412,-2934,517,-0.44
5.74,-664,-3156,3816,32.67,1656,961,-4691,-0.68
5.80,892,-2724,3796,32.62,11780,2539,-3798,-0.61
5.87,-2644,-692,4900,32.67,14098,2666,5440,-0.12
5.93,-596,-588,4256,32.58,611,382,799,-0.14
5.98,-952,-1024,4436,32.58,-821,-867,-152,-0.22
6.05,-848,-940,4740,32.62,-1333,-611,-404,-0.19
6.12,-1192,-608,4680,32.62,-2248,279,-716,-0.13
6.17,-1772,-392,4260,32.58,-5542,439,-736,-0.08
6.24,-1196,-640,5420,32.62,-9578,-4134,-7301,-0.11
6.30,-2084,9668,4652,32.44,4606,8226,11521,1.09
6.37,5072,648,2680,32.67,8612,550,-1290,0.11
6.44,-3820,-396,4452,32.62,4091,-1181,-1930,-0.07
6.48,532,1312,1412,32.53,1610,4254,253,0.72
6.54,480,1928,5456,32.58,614,927,-1254,0.34
6.62,-2176,-1176,4620,32.62,-1294,2431,-413,-0.23
6.67,-1068,-5320,5528,32.53,12680,1274,1557,-0.76
